	B cells	Dendritic	Endothelial	Fibroblast	Mast cells	Mesothelial	Neutrophils	Pericyte	SmoothMuscle	T cells
LRRN3	0.23586049803372378	0.3156419018874448	0.07184831873638714	0.47429156045220305	0.0744520943264343	0.260562537232947	0.0577159870837246	0.653275259678027	0.14198624818763564	0.6927940098256341
COL14A1	0.3241930714486302	0.2665251940249615	0.2369050328901969	5.883224553481316	0.539611316577369	0.7683797530547546	0.3036626336102275	5.774146634460417	4.352685795147116	0.376348730770953
PLEC	1.8253088664884445	2.034296014852501	3.2545766684466155	2.3955035229312576	1.291493757105583	3.422322170801125	3.4394886545351953	3.4311717370588704	3.215743089787228	3.5438527387826997
AL353746.1	0.0	0.0	0.00030027162052413415	0.0	0.0	0.001980752793894969	0.0	0.0	0.0	0.003312942718480102
AL353751.1	0.0	0.0	0.005177009221555299	0.001048899259708708	0.0	0.0	0.0	0.0	0.0	0.0
CPXM2	0.2726908714690392	0.19855505217510855	4.130717224704463	2.583155830358579	0.6269159674917811	0.33609506929914584	0.44925971254150343	0.6584431142644226	0.29594636307408906	0.30678954260879504
CALY	0.0	0.0	0.003502057042028485	0.014440382322098913	0.0	0.0194268818816859	0.0018477332485222664	0.005491405879089299	0.06663623247760252	0.05638688628030343
DSCAML1	0.10443749671737121	0.15019027929152087	0.09739771407878123	0.6981398407376127	0.09829159628139622	1.249470358224321	0.20286062403714056	0.24079305190824865	0.1944223603674162	0.13569873169680163
IGF1	0.35890213802709875	0.3711316842901157	0.23400942287505316	6.44312363809142	0.6115353673536369	1.4902413536755892	0.630510434029515	0.2593953869026321	0.12369579587395008	0.2759565821184284
MYBL2	0.4562096353830529	3.9975054641318515	0.03312409266105014	0.0376917073000779	0.0	0.04876209788114551	0.06454328888113929	0.030141236552677534	0.03282498643382941	0.18083462098514563
UBE2C	0.04101112013093535	0.0	0.018775347295145663	0.03713334453848469	0.061337071699050484	0.09422109010161875	0.080370457797233	0.12864071344116781	0.21452073890685966	0.1622137933056655
